    "Cur_Time"    ,    "Time_Step"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
                 0,             1e-05,       174.9199182,       140.5065566,     -0.1931559223,       2418.050309,      -1347.008196,      -2689.871223,       167.3266515,     -0.1931559223,       149.4685985,      0.8032621905
             1e-05,             1e-05,       160.8445772,       139.5244426,    -0.06268834904,       2387.074926,      -1329.409844,       -2461.54528,       153.3220001,    -0.06268834904,        147.751184,      0.8674488446
             2e-05,             1e-05,       145.8559023,       138.6748416,     0.08252514699,       2356.941363,      -1315.853472,      -2218.322146,       138.3983314,     0.08252514699,       146.1183007,      0.9507660602
             3e-05,             1e-05,       135.2971441,       138.0620787,      0.2126042716,       2334.382729,      -1306.545782,       -2046.29112,       127.8861131,      0.2126042716,       144.9537748,       1.020436016
             4e-05,             1e-05,       126.2746318,       137.4968708,      0.3306874631,       2313.902103,      -1298.053845,      -1899.505882,       118.9055466,      0.3306874631,       143.9171397,       1.088871682
             5e-05,             1e-05,       118.5614659,       136.8705569,        0.43218145,       2293.729793,      -1289.278816,      -1774.442693,       111.2357301,        0.43218145,       142.8880083,       1.154426996
             6e-05,             1e-05,       112.1820929,       136.1733187,      0.5276183275,       2273.753776,      -1280.360306,      -1671.141098,       104.9015904,      0.5276183275,        141.857855,       1.213859674
             7e-05,             1e-05,       107.1106054,       135.5063364,      0.6125012161,       2255.695322,      -1272.471109,      -1588.918888,       99.87196035,      0.6125012161,       140.9263657,       1.265106624
             8e-05,             1e-05,       102.8700112,       134.8957613,      0.6938781827,        2239.42073,      -1265.664811,      -1519.917068,       95.66913276,      0.6938781827,       140.0946918,        1.31132251
             9e-05,             1e-05,       99.26456786,        134.348146,      0.7705192726,       2224.806476,      -1259.962179,      -1461.046347,       92.09729053,      0.7705192726,       139.3591326,       1.353435056
            0.0001,             1e-05,       96.17052547,       133.8610417,      0.8426314786,       2211.624271,      -1255.255967,       -1410.39275,       89.03298149,      0.8426314786,       138.7107662,       1.391913385
           0.00011,             1e-05,       93.43530762,       133.4303633,      0.9112827623,       2199.899053,      -1251.712476,      -1365.561304,       86.32405212,      0.9112827623,       138.1375278,       1.428050774
           0.00012,             1e-05,       90.95115874,       133.0578184,        0.97822843,       2189.234563,      -1249.176868,      -1324.736997,       83.86280518,        0.97822843,       137.6354831,       1.462959024
           0.00013,             1e-05,       88.63482242,       132.7451543,       1.044420947,       2179.486291,      -1247.528917,      -1286.544957,       81.56600689,       1.044420947,       137.2020199,        1.49766368
           0.00014,             1e-05,       86.46098353,       132.5120262,       1.108399041,       2171.247892,      -1246.885792,      -1250.594428,       79.40734815,       1.108399041,       136.8554413,        1.53262224
           0.00015,             1e-05,       84.42564306,       132.3549631,       1.168333141,       2164.382437,      -1247.325931,      -1216.857231,       77.38301709,       1.168333141,        136.592072,       1.567710453
           0.00016,             1e-05,       82.52610415,       132.2745418,        1.22538671,        2158.89719,      -1248.850677,      -1185.290369,       75.49029036,        1.22538671,       136.4123467,       1.602820625
           0.00017,             1e-05,       80.74623189,       132.2530241,       1.280548445,       2154.448463,      -1251.156954,      -1155.659089,        73.7139835,       1.280548445,       136.2977071,       1.637884778
           0.00018,             1e-05,       79.06354921,       132.2790882,       1.333301036,       2150.884471,      -1253.983819,      -1127.629712,       72.03224279,       1.333301036,       136.2356707,       1.673072984
           0.00019,             1e-05,       77.46123431,        132.358713,       1.385223847,       2148.359198,      -1257.434613,      -1100.918701,       70.42795657,       1.385223847,       136.2313278,       1.708709062
            0.0002,             1e-05,       75.94042553,       132.4994845,        1.43260432,       2146.971715,      -1261.861576,      -1075.546768,       68.90186459,        1.43260432,       136.2923134,        1.74478196
           0.00021,             1e-05,       74.50645333,       132.6850907,       1.486968262,       2146.220694,      -1267.401701,      -1051.545658,       67.46014372,       1.486968262,       136.4026169,       1.780853668
           0.00022,             1e-05,       73.16013263,       132.8945488,       1.530107417,       2145.638587,      -1273.769173,      -1029.029247,       66.10470592,       1.530107417,       136.5413269,       1.816488626
