    "Cur_Time"    ,    "Time_Step"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
             1e-05,             1e-05,       12.92529304,       226.2844341,       6.752297537,       3327.670239,      -1832.333257,        22.1665547,       1.064767133,       6.752297537,       226.6507767,       17.50710281
             2e-05,             1e-05,       12.93453865,       226.3155438,       6.751715778,       3327.342314,      -1833.053754,       22.16286765,        1.07237192,       6.751715778,       226.6823276,       17.49699389
             3e-05,             1e-05,       12.94382201,       226.3480627,       6.751523641,        3327.06477,      -1833.773316,       22.14627859,       1.079940652,       6.751523641,       226.7152878,       17.48695729
             4e-05,             1e-05,       12.95165501,       226.3791501,       6.751350579,       3326.754912,      -1834.492977,       22.15438188,       1.086135926,       6.751350579,       226.7467426,       17.47878166
             5e-05,             1e-05,       12.96057985,       226.4117199,       6.750637775,       3326.492307,      -1835.213603,       22.13670075,       1.093343955,       6.750637775,       226.7797349,       17.46925852
             6e-05,             1e-05,       12.96854821,       226.4429421,       6.750455441,        3326.17983,       -1835.94056,       22.13384409,       1.099667362,       6.750455441,       226.8113313,       17.46093228
             7e-05,             1e-05,       12.97648828,       226.4760171,       6.750005023,       3325.912591,      -1836.678411,       22.12954305,       1.105865529,       6.750005023,       226.8447765,       17.45279711
             8e-05,             1e-05,        12.9835693,        226.507793,       6.749476216,       3325.620598,      -1837.417403,       22.13806828,        1.11127383,       6.749476216,       226.8768794,       17.44572603
             9e-05,             1e-05,       12.99163253,       226.5403922,       6.749523149,       3325.329312,      -1838.159432,       22.12855518,       1.117619898,       6.749523149,        226.909856,       17.43740763
            0.0001,             1e-05,       13.00000006,         226.57315,       6.748866241,       3325.068064,      -1838.899693,       22.11016639,       1.124261547,       6.748866241,       226.9430069,       17.42870377
           0.00011,             1e-05,       13.00668097,        226.604204,       6.748582419,       3324.752823,      -1839.641671,       22.12132937,       1.129308056,       6.748582419,       226.9743679,       17.42213902
           0.00012,             1e-05,       13.01479092,        226.638284,       6.748133319,       3324.515852,      -1840.390891,       22.10237003,       1.135623285,       6.748133319,       227.0088256,       17.41390126
           0.00013,             1e-05,       13.02211724,       226.6695245,       6.747603452,       3324.216013,      -1841.134483,       22.10086321,       1.141304565,       6.747603452,       227.0404068,       17.40650313
           0.00014,             1e-05,       13.02985101,       226.7029504,       6.747116178,        3323.98434,      -1841.876531,       22.08350549,       1.147278362,       6.747116178,       227.0741916,       17.39873696
           0.00015,             1e-05,       13.03762777,       226.7338076,       6.747082094,       3323.696503,      -1842.608539,       22.06677621,       1.153429519,       6.747082094,       227.1054135,       17.39072565
           0.00016,             1e-05,       13.04409552,       226.7656351,       6.745731047,       3323.434192,         -1843.352,       22.06583343,       1.158222687,       6.745731047,       227.1375359,       17.38454266
           0.00017,             1e-05,       13.05142379,       226.7945767,       6.746342277,       3323.151127,      -1844.056597,         22.053935,       1.164026224,       6.746342277,       227.1668214,       17.37699889
           0.00018,             1e-05,       13.05812125,       226.8228252,       6.745308346,       3322.841216,      -1844.762976,       22.04554785,       1.169236096,       6.745308346,       227.1953816,       17.37024958
           0.00019,             1e-05,        13.0645597,       226.8530971,       6.744982815,       3322.600913,      -1845.469827,        22.0387166,       1.174081412,       6.744982815,        227.225949,       17.36400631
            0.0002,             1e-05,       13.07162646,       226.8821214,       6.745006941,       3322.352588,      -1846.160381,       22.01799243,       1.179619469,       6.745006941,       227.2553034,       17.35683942
           0.00021,             1e-05,       13.07814217,       226.9102918,       6.744593677,       3322.106258,      -1846.841511,        22.0044956,       1.184651932,       6.744593677,       227.2837762,         17.350346
           0.00022,             1e-05,       13.08432803,       226.9368344,       6.744325648,        3321.81802,      -1847.514916,       21.99325305,       1.189440174,       6.744325648,       227.3106062,       17.34417189
           0.00023,             1e-05,       13.08959924,        226.961563,       6.743635455,       3321.513789,      -1848.176114,       21.99769363,        1.19340997,       6.743635455,       227.3355768,       17.33907653
           0.00024,             1e-05,       13.09563106,       226.9876106,       6.743033121,       3321.261133,      -1848.829831,       21.98250008,       1.198070299,       6.743033121,       227.3619043,       17.33307922
           0.00025,             1e-05,       13.10114883,        227.011569,       6.742870343,       3320.968253,      -1849.470672,       21.97935218,       1.202326625,       6.742870343,       227.3861186,       17.32760782
           0.00026,             1e-05,        13.1076947,        227.036658,       6.742286085,       3320.734806,      -1850.100724,       21.95265785,       1.207550461,       6.742286085,       227.4115158,       17.32086863
           0.00027,             1e-05,       13.11193565,        227.057672,       6.741748335,       3320.410608,      -1850.715744,       21.96746125,       1.210685813,       6.741748335,        227.432723,         17.316869
           0.00028,             1e-05,       13.11767069,       227.0811484,       6.741458868,       3320.177807,       -1851.31861,       21.94657039,       1.215184334,       6.741458868,       227.4564674,       17.31108775
           0.00029,             1e-05,       13.12226461,        227.099738,       6.740889077,       3319.854918,      -1851.900487,       21.95299734,       1.218799045,       6.740889077,        227.475272,       17.30644404
            0.0003,             1e-05,       13.12829619,        227.121918,       6.740122137,       3319.639601,      -1852.473759,       21.91935013,       1.223661558,       6.740122137,       227.4977372,       17.30018234
           0.00031,             1e-05,       13.13311744,       227.1395646,       6.740408185,       3319.332778,      -1853.026044,        21.9152434,       1.227552647,       6.740408185,        227.515612,       17.29517501
           0.00032,             1e-05,       13.13747338,       227.1571611,       6.739807965,       3319.069347,      -1853.562841,       21.91281522,       1.230981687,       6.739807965,       227.5334124,       17.29077993
           0.00033,             1e-05,       13.14208803,       227.1723669,       6.739380704,       3318.764463,      -1854.079715,       21.90608049,         1.2347942,       6.739380704,       227.5488389,       17.28586557
           0.00034,             1e-05,       13.14746671,       227.1886693,       6.739124482,       3318.522429,       -1854.57841,       21.87750902,       1.239312309,       6.739124482,       227.5654004,       17.28003381
           0.00035,             1e-05,       13.15072541,       227.2003839,       6.738627206,       3318.203077,      -1855.049664,        21.8878239,       1.241953451,       6.738627206,       227.5772694,       17.27664268
           0.00036,             1e-05,       13.15529739,       227.2135707,        6.73816247,       3317.964422,      -1855.497891,       21.86470484,       1.245829021,        6.73816247,       227.5906774,       17.27164076
           0.00037,             1e-05,       13.15933449,       227.2226029,       6.737783108,       3317.663708,      -1855.912119,       21.85071497,       1.249387877,       6.737783108,       227.5999086,       17.26702844
           0.00038,             1e-05,       13.16324547,       227.2312683,       6.737334989,       3317.412203,      -1856.295222,       21.83085202,       1.252839986,       6.737334989,       227.6087668,       17.26255647
           0.00039,             1e-05,       13.16534914,       227.2343054,       6.736884174,       3317.072438,      -1856.639575,       21.84195149,       1.254781817,       6.736884174,       227.6119098,       17.26002881
            0.0004,             1e-05,       13.16809709,       227.2370504,       6.736545837,       3316.785242,      -1856.947587,       21.83294629,        1.25738234,       6.736545837,       227.6147949,       17.25663541
           0.00041,             1e-05,       13.17079906,       227.2381845,       6.736063669,       3316.527296,      -1857.213379,       21.81118543,       1.260021262,       6.736063669,       227.6160688,       17.25318133
           0.00042,             1e-05,       13.17218669,       227.2345229,       6.735646092,       3316.193169,      -1857.441479,       21.81935518,       1.261598619,       6.735646092,       227.6124849,       17.25108581
           0.00043,             1e-05,       13.17394811,       227.2301426,       6.735123047,       3315.910003,      -1857.628343,       21.80270362,       1.263586871,       6.735123047,       227.6082028,       17.24844676
           0.00044,             1e-05,       13.17524895,       227.2222272,       6.734721038,       3315.598293,      -1857.772974,       21.79754229,       1.265300187,       6.734721038,       227.6003663,       17.24614298
           0.00045,             1e-05,       13.17659874,        227.211929,       6.734412847,       3315.292265,      -1857.872138,       21.77811397,       1.267187095,       6.734412847,       227.5901528,       17.24359476
           0.00046,             1e-05,       13.17607999,       227.1976822,       6.734048303,       3314.964934,      -1857.925088,       21.79064351,       1.267414675,       6.734048303,       227.5758984,       17.24319239
           0.00047,             1e-05,       13.17636446,       227.1807459,        6.73356649,       3314.644242,      -1857.927663,       21.77802615,       1.268585134,        6.73356649,       227.5590003,       17.24153476
           0.00048,             1e-05,       13.17579192,       227.1606574,       6.733224436,       3314.319397,      -1857.879576,       21.77664384,       1.269064733,       6.733224436,       227.5389093,       17.24075932
           0.00049,             1e-05,       13.17544009,       227.1375669,       6.732743989,       3314.002127,      -1857.775263,       21.75719648,       1.269921845,       6.732743989,       227.5158321,       17.23946717
            0.0005,             1e-05,       13.17419564,       227.1111458,       6.732286072,       3313.693554,      -1857.615081,       21.74765262,       1.270061874,       6.732286072,        227.489382,       17.23909011
           0.00051,             1e-05,       13.17218378,       227.0789664,       6.731740566,       3313.329993,      -1857.392422,       21.74674386,        1.26973691,       6.731740566,       227.4571414,       17.23928015
           0.00052,             1e-05,       13.17048238,       227.0433661,       6.731531454,       3312.961039,       -1857.11136,       21.73506125,       1.269901017,       6.731531454,       227.4215009,       17.23880414
           0.00053,             1e-05,       13.16821594,       227.0064806,       6.731247767,       3312.662012,       -1856.76951,       21.71210317,       1.269568121,       6.731247767,       227.3845472,       17.23897008
           0.00054,             1e-05,       13.16357979,       226.9620566,       6.730453283,        3312.26524,      -1856.362068,        21.7331692,       1.267263297,       6.730453283,       227.3399415,        17.2416668
           0.00055,             1e-05,       13.15950122,        226.914768,       6.730242015,       3311.888633,      -1855.888994,       21.72977843,       1.265665215,       6.730242015,       227.2925043,       17.24341707
           0.00056,             1e-05,       13.15553192,       226.8645329,       6.729798384,       3311.544639,      -1855.347575,       21.71277911,       1.264330456,       6.729798384,       227.2421303,       17.24480122
           0.00057,             1e-05,       13.14998717,       226.8083912,       6.729285452,       3311.153325,      -1854.735281,        21.7147625,       1.261731534,       6.729285452,       227.1857753,       17.24780323
           0.00058,             1e-05,        13.1433016,        226.746933,       6.729000604,       3310.740194,      -1854.049658,       21.73060315,       1.258271599,       6.729000604,       227.1240514,       17.25190062
           0.00059,             1e-05,       13.13644833,       226.6813296,        6.72852799,        3310.32619,      -1853.291697,       21.73425247,       1.254861133,        6.72852799,       227.0581793,       17.25590692
            0.0006,             1e-05,       13.12890143,       226.6103607,       6.728102212,       3309.923411,       -1852.44805,       21.73626162,       1.251038799,       6.728102212,       226.9869127,       17.26042061
           0.00061,             1e-05,       13.12111429,       226.5368824,       6.727669024,       3309.519255,       -1851.54383,        21.7295296,       1.247107893,       6.727669024,       226.9131275,       17.26506434
           0.00062,             1e-05,       13.11106527,       226.4555734,       6.727516295,       3309.040554,      -1850.556935,       21.75732327,       1.241328028,       6.727516295,        226.831404,       17.27209565
           0.00063,             1e-05,       13.10145687,       226.3716532,        6.72686452,       3308.628597,      -1849.490392,       21.75876572,       1.236124843,        6.72686452,        226.747096,       17.27835732
           0.00064,             1e-05,       13.09111818,       226.2811005,       6.726439417,       3308.162877,      -1848.339723,       21.76060679,       1.230539487,       6.726439417,       226.6561263,       17.28508576
           0.00065,             1e-05,       13.08045822,       226.1861994,       6.725174162,       3307.712468,      -1847.110133,        21.7499441,       1.224860866,       6.725174162,       226.5607974,       17.29191713
           0.00066,             1e-05,       13.06684267,       226.0834465,       6.725812458,        3307.16778,      -1845.800836,       21.79213503,       1.216641654,       6.725812458,       226.4574727,       17.30207152
           0.00067,             1e-05,       13.05535723,       225.9817011,       6.725251788,       3306.749051,      -1844.426829,       21.76411442,       1.210496895,       6.725251788,       226.3552656,       17.30949963
