"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
0.00029864,0.0029674,-0.010872,0.0025853,893.83,0.0056324,0,-0.40384,357.42,697.18,0.033508,-0.59729,1.3332,1.6,0.014411
0.00031967,0.0096327,-0.010548,0.0047514,959.11,0.0048209,0,-0.40385,383.5,698.92,0.036345,-0.49658,1.3333,1.6,0.012334
0.00032237,0.0089708,-0.015421,-0.0076354,978.64,0.0081884,0,-0.4038,391.22,707.01,0.046186,-0.46677,1.3331,1.6,0.02095
0.00031114,0.0056821,-0.014378,-0.0054537,940.16,0.0077202,0,-0.40381,375.87,703.48,0.041904,-0.52604,1.3331,1.6,0.019752
0.00028416,-0.0018892,-0.011509,0.00018899,848.67,0.0064367,0,-0.40383,339.37,695.79,0.031851,-0.66698,1.3332,1.6,0.016469
0.00033574,0.0071157,-0.016984,-0.0047927,1032.2,0.0082843,0,-0.40332,412.65,715.35,0.045088,-0.38404,1.3319,1.6,0.021196
0.00036521,0.002546,-0.020605,0.0015396,1150.8,0.0084998,0,-0.40224,460.1,733.96,0.042935,-0.20085,1.3292,1.6,0.021747
0.00037566,-0.0039788,-0.022954,0.0022302,1208.7,0.0086898,0,-0.4013,483.17,748.97,0.047662,-0.11176,1.3267,1.6,0.022233
0.00038418,-0.0093435,-0.024742,0.0029616,1254.8,0.0088324,0,-0.40059,501.53,760.55,0.051241,-0.040874,1.3249,1.6,0.022598
0.00038401,-0.013051,-0.026254,0.0032808,1269.3,0.008977,0,-0.39987,507.24,769.54,0.056857,-0.018848,1.3231,1.6,0.022968
0.00038283,-0.019243,-0.028803,0.0040427,1290.3,0.0092167,0,-0.39868,515.48,784.46,0.066378,0.012991,1.32,1.6,0.023581
0.00037798,-0.024819,-0.031374,0.0046362,1291.8,0.0094613,0,-0.39745,515.83,795.28,0.077341,0.014342,1.3169,1.6,0.024207
0.00037227,-0.031668,-0.034552,0.0054154,1295.2,0.0097585,0,-0.39595,516.87,808.88,0.090938,0.018343,1.3131,1.6,0.024967
0.00036559,-0.039203,-0.038325,0.0064613,1297.8,0.010137,0,-0.39403,517.42,824.66,0.10744,0.020456,1.3081,1.6,0.025936
0.00036176,-0.043306,-0.040383,0.0070116,1298.1,0.010344,0,-0.39298,517.29,833.05,0.11652,0.019967,1.3054,1.6,0.026467
0.00035928,-0.046386,-0.04187,0.007427,1302.6,0.010523,0,-0.39206,518.82,841.5,0.12329,0.025884,1.3031,1.6,0.026924
0.00035333,-0.054228,-0.04579,0.0088478,1315,0.010965,0,-0.38978,523.09,862.52,0.14065,0.042366,1.2973,1.6,0.028055
0.0003475,-0.061266,-0.049073,0.0095228,1331.5,0.011412,0,-0.38746,528.96,886.92,0.15591,0.065007,1.2913,1.6,0.029198
0.00034475,-0.066114,-0.051369,0.010243,1346.2,0.011714,0,-0.38589,534.36,903,0.16615,0.085883,1.2873,1.6,0.029971
0.00034368,-0.070619,-0.05367,0.011176,1368.8,0.012017,0,-0.38428,542.82,920.38,0.17487,0.11853,1.2832,1.6,0.030746
0.00033919,-0.081198,-0.059178,0.013358,1416.9,0.012734,0,-0.38047,560.69,963.01,0.1965,0.18752,1.2734,1.6,0.032581
0.00033833,-0.091935,-0.064471,0.01521,1483.8,0.013581,0,-0.37587,585.91,1008.9,0.21504,0.28492,1.2617,1.6,0.034748
0.00033846,-0.09508,-0.06604,0.015796,1504.2,0.013824,0,-0.37455,593.59,1021.8,0.22032,0.31457,1.2583,1.6,0.03537
0.00033873,-0.097494,-0.067081,0.016165,1521.1,0.014066,0,-0.37319,599.99,1031.9,0.22383,0.33926,1.2548,1.6,0.035988
0.00034004,-0.10668,-0.071417,0.017674,1586.4,0.014983,0,-0.36806,624.69,1070.3,0.23767,0.43461,1.2417,1.6,0.038335
0.00033984,-0.11185,-0.074015,0.018583,1621.8,0.015843,0,-0.36307,637.9,1093.6,0.24579,0.48561,1.2289,1.6,0.040536
0.00033992,-0.11568,-0.075757,0.019188,1647.3,0.016442,0,-0.35959,647.44,1109.7,0.25156,0.52246,1.22,1.6,0.042067
