"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00050077,1577.6,0.00041417,0,1.1112,0.13978,0.08854,-0.022041,-0.016473,627.6,0.44585,730.13,1.3133,1.6,-0.00037768
0.00049792,1561.2,-0.00070594,0,1.1045,0.1514,0.096207,-0.019096,-0.016918,620.48,0.41836,725.97,1.3072,1.6,0.00064374
0.00049713,1556.7,-0.00098663,0,1.1029,0.15435,0.098125,-0.018391,-0.017023,618.57,0.41099,724.89,1.3057,1.6,0.0008997
0.00049524,1549.7,-0.0011977,0,1.1014,0.15508,0.098326,-0.017936,-0.016544,615.75,0.40011,724.34,1.3044,1.6,0.0010922
0.000486,1516.5,-0.0022889,0,1.094,0.15801,0.098936,-0.01548,-0.014313,602.4,0.34857,722.12,1.2976,1.6,0.0020873
0.00048189,1504.4,-0.0028996,0,1.0892,0.15557,0.096793,-0.014525,-0.013432,597.7,0.3304,722.6,1.2932,1.6,0.0026441
0.00047629,1487,-0.0036694,0,1.0829,0.15256,0.094085,-0.01316,-0.01207,590.94,0.3043,722.82,1.2875,1.6,0.0033461
0.00046102,1439.1,-0.0048808,0,1.0703,0.14345,0.086077,-0.010953,-0.0088051,572.34,0.23251,723.27,1.276,1.6,0.0044507
0.0004577,1428.7,-0.0051422,0,1.0676,0.14152,0.08436,-0.010513,-0.0080998,568.28,0.21681,723.33,1.2735,1.6,0.0046891
0.00045448,1418.4,-0.0053015,0,1.0651,0.13995,0.082917,-0.01024,-0.0075802,564.24,0.20125,723.28,1.2713,1.6,0.0048344
0.00043604,1359.3,-0.0062099,0,1.0508,0.13093,0.074616,-0.0085998,-0.0045993,541.12,0.11198,722.99,1.2582,1.6,0.0056628
0.00041537,1294.4,-0.0067159,0,1.0353,0.12264,0.066751,-0.0073317,-0.0012991,515.58,0.013363,723.13,1.244,1.6,0.0061242
0.00041411,1290.4,-0.0067482,0,1.0342,0.12214,0.066271,-0.0072435,-0.0011277,514,0.0072738,723.12,1.2431,1.6,0.0061536
0.00040084,1249.1,-0.0067301,0,1.0156,0.11815,0.062119,-0.0063922,0.00034796,497.67,-0.055773,723.34,1.2261,1.6,0.0061371
0.00039651,1235.8,-0.0067119,0,1.0107,0.1168,0.060747,-0.0061211,0.0010492,492.42,-0.076051,723.51,1.2216,1.6,0.0061205
0.00039133,1220.4,-0.0062864,0,1.0006,0.11477,0.058907,-0.005774,0.002385,486.36,-0.099474,724.06,1.2125,1.6,0.0057325
0.00038103,1190.1,-0.0054072,0,0.97983,0.11067,0.055199,-0.0050945,0.0051721,474.4,-0.14565,725.34,1.1935,1.6,0.0049308
0.00038123,1203.2,-0.0037735,0,0.96041,0.1079,0.053879,-0.0048136,0.0071249,479.7,-0.12516,733.07,1.1758,1.6,0.0034411
0.0003812,1212.2,-0.0025445,0,0.94581,0.10581,0.052849,-0.0045589,0.0086004,483.35,-0.11108,738.69,1.1625,1.6,0.0023203
0.00082454,1998.2,-0.0031245,0,-0.32886,0.21743,0.022104,0.029049,0.20262,787.93,1.0649,556.69,0.00011414,1.6,0.0028492
0.00080825,1967.9,-0.007154,0,-0.32826,0.32949,0.059313,0.028106,0.29727,763.11,0.96905,549.98,0.00065842,1.6,0.0065237
0.00081761,1984.5,-0.0048541,0,-0.32873,0.26744,0.034461,0.028582,0.24841,778.2,1.0273,554.5,0.00023514,1.6,0.0044264
0.00084616,2043.3,0.0036059,0,-0.32891,0.070908,-0.0034284,0.030661,0.05884,815.85,1.1727,561.71,7.3492e-05,1.6,-0.0032882
0.00085071,2053.7,0.0074844,0,-0.32839,0.050914,0.0011573,0.031233,0.0007259,820.87,1.1921,562.15,0.0005483,1.6,-0.0068249
0.00085056,2053.2,0.0053507,0,-0.32881,0.043444,-0.0049841,0.031013,0.029286,820.86,1.192,562.24,0.00015957,1.6,-0.0048792
0.0003922,1280,0.00054598,0,0.92147,0.1046,0.054251,-0.0042506,0.01002,510.45,-0.0064661,757.78,1.1403,1.6,-0.00049787
0.00039996,1327.6,0.0027914,0,0.90351,0.10334,0.055011,-0.0040213,0.011115,529.47,0.066988,771.19,1.1239,1.6,-0.0025455
0.00040411,1352.7,0.0039246,0,0.89623,0.10399,0.056188,-0.0039191,0.011385,539.46,0.10554,777.56,1.1173,1.6,-0.0035788
0.00050145,1581.5,0.00056032,0,1.112,0.13739,0.086904,-0.022544,-0.016269,629.27,0.45232,731.08,1.314,1.6,-0.00051095
0.00083108,2011.1,-0.0014937,0,-0.32899,0.17032,0.01045,0.029456,0.15945,797.12,1.1004,558.75,1.3553e-20,1.6,0.0013621
0.00080819,1967.8,-0.0071687,0,-0.32826,0.32989,0.059472,0.028103,0.29759,763.01,0.96868,549.95,0.00066113,1.6,0.0065371
0.0008424,2034.9,0.0021149,0,-0.32899,0.094186,-0.0020972,0.030316,0.084099,811.59,1.1562,561.27,6.7763e-21,1.6,-0.0019286
0.00085072,2053.7,0.0075347,0,-0.32838,0.051086,0.001302,0.031237,5.2256e-05,820.87,1.1921,562.15,0.00055746,1.6,-0.0068708
0.00041757,1439.5,0.0091839,0,0.86558,0.10856,0.061648,-0.0033753,0.012378,573.91,0.23856,800.1,1.0893,1.6,-0.0083747
0.00045413,1522.8,0.0026752,0,1.1332,0.055625,0.00019758,-0.033433,0.0064536,608.58,0.37242,780.76,1.3333,1.6,-0.0024395
0.0004706,1573.5,0.0049526,0,1.1332,0.053755,0.0068051,-0.032967,0.0080045,628.9,0.45089,778.56,1.3333,1.6,-0.0045162
0.00044896,1510.3,0.00041834,0,1.1332,0.057343,-0.0032949,-0.034861,0.0032626,603.58,0.35311,783.2,1.3333,1.6,-0.00038148
0.00050804,1682.9,0.0044437,0,1.131,0.066025,0.025097,-0.034234,-0.0037187,672.27,0.61834,771.45,1.3313,1.6,-0.0040522
0.00054336,1785.3,0.0039575,0,1.1288,0.078049,0.042803,-0.035376,-0.014823,712.92,0.77528,764.38,1.3294,1.6,-0.0036088
0.00053903,1756.5,0.0034178,0,1.1264,0.088294,0.052254,-0.033796,-0.014429,701.06,0.72947,757.67,1.3271,1.6,-0.0031167
0.00053477,1731.7,0.0030313,0,1.1246,0.095602,0.058908,-0.032541,-0.014069,690.91,0.69031,752.68,1.3255,1.6,-0.0027642
0.00051708,1657,0.0022564,0,1.1208,0.10918,0.067835,-0.028891,-0.01434,660.59,0.57322,744.1,1.3221,1.6,-0.0020576
0.00050892,1622.8,0.0019249,0,1.1192,0.11497,0.071602,-0.027278,-0.014428,646.71,0.51964,740.29,1.3206,1.6,-0.0017553
0.00050741,1616.3,0.0018502,0,1.1188,0.11629,0.072467,-0.026961,-0.014462,644.08,0.50948,739.5,1.3203,1.6,-0.0016872
0.00050677,1612.5,0.0017113,0,1.1181,0.11858,0.07402,-0.026506,-0.014662,642.47,0.50329,738.58,1.3196,1.6,-0.0015605
0.00083707,2022.9,-2.5343e-06,0,-0.3291,0.12725,-0.00020664,0.029828,0.11997,805.53,1.1328,560.63,-0.00010437,1.6,2.311e-06
0.00076451,1868.1,0.030558,0,-0.31705,0.39969,0.23356,0.028992,-0.25867,715.26,0.78431,545.05,0.010881,1.6,-0.027866
0.00077449,1891.1,0.029335,0,-0.31807,0.38673,0.22042,0.029458,-0.26058,726.02,0.82585,546.1,0.0099545,1.6,-0.02675
0.00079047,1927.8,0.027356,0,-0.31971,0.36582,0.19934,0.030065,-0.2635,743.27,0.89247,547.8,0.0084567,1.6,-0.024946
0.00080298,1955.2,0.025227,0,-0.32119,0.33506,0.1723,0.03072,-0.25432,758.17,0.94998,550.05,0.007113,1.6,-0.023004
0.00081577,1982,0.022559,0,-0.32287,0.28854,0.13625,0.031211,-0.23191,774.53,1.0131,553.12,0.0055821,1.6,-0.020572
0.0008245,1999.3,0.020292,0,-0.32416,0.24261,0.10388,0.031393,-0.20415,786.75,1.0603,555.91,0.0044042,1.6,-0.018504
0.00083335,2017.2,0.017821,0,-0.32528,0.18615,0.071671,0.031603,-0.16084,798.75,1.1067,558.38,0.0033761,1.6,-0.01625
0.00084322,2037.8,0.014614,0,-0.32654,0.12039,0.038042,0.031646,-0.10558,811.44,1.1557,560.62,0.0022278,1.6,-0.013327
0.00085108,2054.9,0.011616,0,-0.32756,0.065101,0.013044,0.03153,-0.054593,820.97,1.1924,561.97,0.0013007,1.6,-0.010592
0.0008105,1971.6,0.02393,0,-0.32208,0.31636,0.15585,0.031003,-0.24873,767.15,0.98466,551.42,0.0062942,1.6,-0.021822
0.00083866,2027.9,0.016352,0,-0.32595,0.15255,0.052532,0.031625,-0.13513,805.93,1.1344,559.84,0.0027651,1.6,-0.014911
0.00075653,1852.3,0.031831,0,-0.3158,0.43136,0.25822,0.028846,-0.2657,704.09,0.74119,542.15,0.012023,1.6,-0.029026
0.00068247,1710.7,0.047476,0,-0.29332,0.72987,0.48928,0.025058,-0.25108,595.46,0.32175,508.3,0.032527,1.6,-0.043293
0.00068336,1712.5,0.047244,0,-0.29377,0.7271,0.48742,0.025106,-0.25211,596.66,0.32642,508.67,0.032117,1.6,-0.043081
0.00069024,1726.2,0.045416,0,-0.2972,0.70446,0.47164,0.025475,-0.26002,606.23,0.36336,511.68,0.028989,1.6,-0.041415
0.00069168,1729.1,0.045068,0,-0.29782,0.70006,0.46846,0.0256,-0.26169,608.18,0.37088,512.25,0.028418,1.6,-0.041097
0.00069871,1742.8,0.043252,0,-0.30098,0.67512,0.44964,0.025996,-0.26972,618.23,0.40968,515.47,0.025543,1.6,-0.039441
0.00070192,1749.3,0.042572,0,-0.30209,0.66531,0.44221,0.026266,-0.27286,622.56,0.42642,516.72,0.024529,1.6,-0.038821
0.00070964,1764.2,0.040865,0,-0.30478,0.63663,0.41983,0.026562,-0.2796,633.76,0.46965,520.29,0.022077,1.6,-0.037264
0.00071531,1774.7,0.039534,0,-0.30671,0.61241,0.40074,0.027003,-0.28246,642.42,0.50308,523.2,0.020318,1.6,-0.03605
0.00074556,1831,0.033657,0,-0.31401,0.47816,0.29449,0.028426,-0.27701,688.34,0.68038,537.87,0.013658,1.6,-0.030691
0.00073812,1817.5,0.035053,0,-0.31243,0.51424,0.32264,0.028271,-0.28227,676.77,0.63572,534.14,0.015097,1.6,-0.031965
0.00067409,1693.2,0.049364,0,-0.28952,0.75272,0.50327,0.024767,-0.2422,584.56,0.27968,505.21,0.035994,1.6,-0.045014
0.00067334,1691.7,0.049533,0,-0.28916,0.75475,0.50447,0.024747,-0.2414,583.58,0.27592,504.93,0.036315,1.6,-0.045168
0.00072209,1787.2,0.038135,0,-0.30865,0.5827,0.37741,0.027267,-0.28415,652.8,0.54316,526.68,0.018545,1.6,-0.034775
