"Density","Energy","Grid_Velocity:0","Grid_Velocity:1","Grid_Velocity:2","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","Points:0","Points:1","Points:2"
0.00015499,664.17,0.029005,0,-0.27093,0.29175,-0.058385,-0.036931,0.0044305,259.48,-0.97542,975.49,0.99318,1.6,0.07421
0.00015636,670.21,0.028819,0,-0.27247,0.29258,-0.059111,-0.037287,0.0046875,261.81,-0.96644,975.33,0.99711,1.6,0.073734
0.00020761,998.18,0.033722,0,-0.22521,0.23314,-0.064341,-0.044856,0.0078615,393.28,-0.45882,1103.8,0.8762,1.6,0.086279
0.00020554,987.8,0.033403,0,-0.22873,0.2366,-0.064764,-0.044769,0.0075983,389.03,-0.47526,1102.9,0.88521,1.6,0.085462
0.000157,678.79,0.0293,0,-0.26831,0.28856,-0.058653,-0.037262,0.0042858,265.34,-0.95281,984.14,0.98648,1.6,0.074965
0.00019403,922.19,0.032259,0,-0.24093,0.25059,-0.065063,-0.043714,0.0061129,362.5,-0.57767,1088.6,0.91644,1.6,0.082536
0.00017739,817.01,0.031373,0,-0.24953,0.26424,-0.061914,-0.040785,0.0045415,320.58,-0.73954,1051.4,0.93844,1.6,0.080268
0.00019243,902.72,0.034841,0,-0.21137,0.22328,-0.056022,-0.040142,0.0064463,356.11,-0.60236,1077.7,0.84079,1.6,0.089142
0.0004198,1112.9,0.035296,0,-0.015703,1.5138,0.6029,0.012174,0.039692,271.18,-0.93026,376.33,0.34018,1.6,0.090306
0.00041799,1109.2,0.035997,0,-0.027374,1.5156,0.60143,0.012303,0.032979,270.02,-0.93475,376.35,0.37004,1.6,0.0921
0.00041444,1101.9,0.036462,0,-0.036466,1.509,0.59554,0.012102,0.028343,269.16,-0.93805,378.37,0.3933,1.6,0.093289
0.00040256,1077.3,0.037087,0,-0.051261,1.4761,0.57277,0.010988,0.022161,267.62,-0.94398,387.38,0.43115,1.6,0.094887
0.00015774,676.28,0.028681,0,-0.27359,0.29302,-0.059738,-0.037651,0.004879,264.16,-0.95737,975.58,1,1.6,0.073382
0.00039379,1058.6,0.037366,0,-0.058899,1.4499,0.55542,0.010055,0.019181,266.53,-0.9482,394.39,0.4507,1.6,0.095602
0.00036389,994.74,0.037858,0,-0.075394,1.3542,0.49553,0.0069755,0.012454,262.79,-0.96264,421.09,0.4929,1.6,0.09686
0.00035126,967.35,0.037991,0,-0.081006,1.3109,0.46982,0.0055636,0.010152,261.15,-0.96897,433.44,0.50726,1.6,0.097201
0.00030323,865.4,0.038256,0,-0.097777,1.1237,0.37055,0.00032705,0.0039198,255.47,-0.99089,491.9,0.55017,1.6,0.09788
0.00028977,837.04,0.038298,0,-0.10217,1.0641,0.34191,-0.0013136,0.0025841,254.04,-0.99645,511.39,0.56141,1.6,0.097986
0.00023817,734.74,0.038338,0,-0.11846,0.79046,0.2286,-0.0077125,-0.00062553,249.7,-1.0132,612.81,0.60308,1.6,0.098089
0.00022728,714.25,0.038325,0,-0.1222,0.7225,0.20343,-0.0092964,-0.0010337,249.05,-1.0157,639.14,0.61264,1.6,0.098055
0.00018876,651.96,0.038169,0,-0.13794,0.42736,0.10868,-0.015375,-0.0013811,247.66,-1.021,766.44,0.65293,1.6,0.097656
0.00018189,641.71,0.038115,0,-0.14132,0.36786,0.090822,-0.016648,-0.0013283,247.16,-1.023,792.04,0.66157,1.6,0.097519
0.00015816,609.04,0.037772,0,-0.1565,0.15599,0.028601,-0.020997,-0.00099265,241.78,-1.0438,891.79,0.70042,1.6,0.096641
0.00015414,602.66,0.03768,0,-0.15961,0.12831,0.018351,-0.021746,-0.00094409,239.95,-1.0508,906.97,0.70838,1.6,0.096405
0.00014344,591.15,0.037136,0,-0.17402,0.13131,-0.013038,-0.024369,-0.00053971,235.32,-1.0687,956.06,0.74524,1.6,0.095014
0.00014255,592.37,0.037012,0,-0.17677,0.14108,-0.01768,-0.024907,-0.00038349,235.62,-1.0675,963,0.75227,1.6,0.094695
0.00015289,668.24,0.036273,0,-0.19056,0.1948,-0.035768,-0.029467,0.00149,264.46,-0.95618,1007.3,0.78756,1.6,0.092806
0.00016588,743,0.030725,0,-0.25572,0.27379,-0.059629,-0.038705,0.0035075,291.09,-0.85338,1022.7,0.95426,1.6,0.078611
0.00015579,685.5,0.036147,0,-0.19268,0.20096,-0.038251,-0.030395,0.0018307,271.13,-0.93045,1014,0.79297,1.6,0.092483
0.0001883,877.4,0.035101,0,-0.20811,0.22083,-0.053882,-0.038893,0.0060205,346.23,-0.6405,1070.9,0.83246,1.6,0.089808
0.00018955,884.55,0.035062,0,-0.20866,0.22134,-0.054415,-0.039226,0.006184,349.03,-0.62967,1072.8,0.83386,1.6,0.089706
0.00059199,1534.3,0.010776,0,0.11131,1.0627,0.49101,0.020637,0.44138,465.92,-0.17837,458.78,0.015217,1.6,0.027571
0.00056455,1459.4,0.011235,0,0.1108,1.0396,0.4765,0.019607,0.39418,448.14,-0.24704,462.45,0.016517,1.6,0.028744
0.00073096,1858.3,0.0067741,0,0.11468,0.87686,0.36397,0.025173,0.58761,611.52,0.38379,487.25,0.0065889,1.6,0.017332
0.00072299,1850.4,0.0073612,0,0.11432,0.94334,0.40686,0.024993,0.60624,592.5,0.31036,477.44,0.0075018,1.6,0.018834
0.00070657,1818.3,0.0079839,0,0.11386,0.99756,0.44451,0.024543,0.59861,569.04,0.21977,468.97,0.0086763,1.6,0.020427
0.00075699,1884.2,0.0047316,0,0.11578,0.65215,0.22584,0.025744,0.5019,673.49,0.62306,518.32,0.0037786,1.6,0.012106
0.00074989,1877.7,0.0053323,0,0.11548,0.71795,0.26514,0.025573,0.53101,656,0.55552,509.55,0.0045481,1.6,0.013643
0.00076635,1897.8,0.0040913,0,0.11604,0.58835,0.1907,0.026065,0.46694,691.58,0.69289,525.64,0.0031206,1.6,0.010468
0.00080426,1962.1,0.0017343,0,0.11682,0.37339,0.079221,0.027396,0.33399,755.34,0.93904,547.15,0.0011089,1.6,0.0044373
0.00079141,1938.9,0.0025003,0,0.11659,0.44026,0.11269,0.026911,0.378,735.05,0.86073,540.99,0.0016982,1.6,0.0063972
