    "Cur_Time"    ,    "Time_Step"   ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
                 0,             1e-05,      0.3066611079,      0.3624393801,    1.76125627e-05,       0.387703302,      -0.203317229,     -0.2738915031,      0.2739054965,    1.76125627e-05,      0.3877874655,       1.181888967
             1e-05,             1e-05,      0.3151064393,      0.3713483714,     1.7961358e-05,      0.3971706013,     -0.2076720299,      -0.281625877,      0.2815422211,     1.7961358e-05,      0.3973986145,       1.178485505
             2e-05,             1e-05,      0.3148580737,      0.3722634314,   1.801985534e-05,      0.3979982296,     -0.2080454295,     -0.2812182478,      0.2812150478,   1.801985534e-05,      0.3982885459,       1.182321378
             3e-05,             1e-05,      0.3138607259,      0.3722109552,   1.801224303e-05,      0.3978291019,     -0.2079317191,     -0.2801654127,      0.2802260688,   1.801224303e-05,      0.3981493448,       1.185911216
             4e-05,             1e-05,      0.3127356328,      0.3721750722,   1.798530181e-05,       0.397684232,       -0.20790319,      -0.279020438,      0.2791083845,   1.798530181e-05,      0.3980155401,       1.190062894
             5e-05,             1e-05,      0.3105931016,      0.3719005897,   1.789228996e-05,      0.3972003155,     -0.2076754381,      -0.276893736,      0.2769979289,   1.789228996e-05,      0.3975553681,       1.197388441
             6e-05,             1e-05,      0.3075075769,      0.3717062493,   1.778296039e-05,      0.3966908148,      -0.207503433,     -0.2738230194,      0.2739410835,   1.778296039e-05,      0.3970928461,       1.208771026
             7e-05,             1e-05,      0.3027236474,      0.3709441295,   1.760071686e-05,      0.3954367591,     -0.2068769075,      -0.269095319,      0.2692417814,   1.760071686e-05,      0.3959166794,       1.225355643
             8e-05,             1e-05,      0.2955692845,      0.3700540151,   1.735583463e-05,      0.3938229305,     -0.2060818576,     -0.2620129091,      0.2621922216,   1.735583463e-05,      0.3944064084,         1.2520043
             9e-05,             1e-05,      0.2864515085,      0.3688999743,   1.705607434e-05,      0.3917553761,     -0.2050575129,     -0.2529737669,      0.2532097228,   1.705607434e-05,      0.3924620925,       1.287826956
            0.0001,             1e-05,      0.2751690729,       0.367724246,   1.668564458e-05,      0.3894214679,     -0.2039954593,     -0.2417649513,      0.2420726917,   1.668564458e-05,      0.3903075091,        1.33635747
           0.00011,             1e-05,      0.2625284445,      0.3667433425,   1.619652065e-05,      0.3871198828,     -0.2031373902,     -0.2291737294,      0.2295656561,   1.619652065e-05,      0.3882286349,        1.39696612
           0.00012,             1e-05,      0.2493176661,      0.3659764115,   1.557706914e-05,      0.3849274863,     -0.2025290392,     -0.2159938394,      0.2164719911,   1.557706914e-05,      0.3863132271,       1.467912071
           0.00013,             1e-05,      0.2359215544,      0.3654153943,   1.486028396e-05,      0.3828948719,     -0.2021270392,     -0.2025976076,      0.2031757516,   1.486028396e-05,      0.3845867967,       1.548885159
           0.00014,             1e-05,      0.2226440278,      0.3650572546,   1.409269461e-05,      0.3810577532,     -0.2018926281,     -0.1892975127,      0.1899799638,   1.409269461e-05,      0.3830728072,       1.639645394
           0.00015,             1e-05,      0.2100001257,       0.364855053,    1.33043373e-05,      0.3794081746,     -0.2018175286,     -0.1766272262,      0.1774017987,    1.33043373e-05,      0.3817693863,       1.737403974
           0.00016,             1e-05,      0.1984849649,      0.3646996461,   1.251188713e-05,      0.3778761298,     -0.2018916204,     -0.1651082242,      0.1659440011,   1.251188713e-05,      0.3806109583,       1.837416987
           0.00017,             1e-05,      0.1881558475,      0.3645943361,   1.172604451e-05,       0.376472464,     -0.2020833357,     -0.1547498267,      0.1556633676,   1.172604451e-05,      0.3796058073,       1.937725247
           0.00018,             1e-05,      0.1790084838,      0.3646151716,   1.096493594e-05,      0.3752987874,     -0.2023626322,     -0.1455159588,      0.1465489963,   1.096493594e-05,      0.3788293181,       2.036859728
           0.00019,             1e-05,      0.1710602297,      0.3647425833,   1.023425337e-05,      0.3743500488,     -0.2027067439,     -0.1374389785,      0.1386198832,   1.023425337e-05,       0.378263509,       2.132246542
            0.0002,             1e-05,       0.164571304,      0.3648185947,   9.544458714e-06,      0.3734798682,     -0.2030751043,     -0.1308367457,      0.1321490249,   9.544458714e-06,      0.3777736841,       2.216781333
           0.00021,             1e-05,      0.1597293432,       0.364806499,   8.906793579e-06,      0.3726595974,     -0.2034684995,     -0.1259218085,      0.1273265435,   8.906793579e-06,      0.3773396297,       2.283904082
           0.00022,             1e-05,      0.1563420304,      0.3648327172,   8.334826592e-06,      0.3719911224,     -0.2039516915,     -0.1224784629,      0.1239498353,   8.334826592e-06,      0.3770705244,       2.333554939
           0.00023,             1e-05,      0.1538062438,      0.3649577949,   7.820172216e-06,      0.3714853012,     -0.2045426844,     -0.1198602293,       0.121412797,   7.820172216e-06,      0.3769741177,       2.372841218
